# Scenario catalog. Pipe-separated (|):
#   proxy/scenario | description | paths | short | tier
# `paths` is a comma-separated list of URL paths exposed by the proxy on
# http://localhost:9090. Used by run-scenario.sh to build clickable links and
# by scripts/gen-readmes.sh to emit per-scenario README.md files.
# `short` is a one-line tag (≤60 chars) shown in run-scenario.sh's filter list.
# `tier` is `smoke` or `full`, and decides when CI runs the scenario:
#   smoke  every pull request and push to main, plus the weekly sweep
#   full   the weekly sweep and manual dispatch only
# The smoke tier is one scenario per distinct *mechanism* in a tree — rewrite
# direction, servlet mapping, load balancing, TLS, a transport that cannot
# upgrade — not a random sample. Running all 112 on every push cost ~125 jobs
# and five runner-hours per change; a `full` row is one whose breakage a
# `smoke` row in the same tree would almost certainly have caught too. When a
# scenario tests something no other row in its tree does, mark it `smoke`.
# Edit descriptions here; per-scenario READMEs are regenerated from this file.
apache-httpd/http/root-context | App at /, proxy at /. Baseline scenario using a single <Location /> block with upgrade=websocket. | / | App and proxy at /, baseline single <Location /> | smoke
apache-httpd/http/servlet-mapping | App at / with Vaadin servlet bound to /ui/*. /HILLA/* (Hilla push) and /connect/* (Hilla browser-callables) live at the context root, so the proxy rewrites /ui/HILLA/* and /ui/connect/* back to /HILLA/* and /connect/*. Root-level static resources flow through the catch-all. | /ui/ | Vaadin servlet on /ui/*, Hilla resources at root | smoke
apache-httpd/http/servlet-mapping-sse | App at / with the Vaadin servlet on /ui/*, PUSH over Server-Sent Events. /ui/HILLA/* and /ui/connect/* are rewritten back to the context root, and no rule carries upgrade=websocket. | /ui/ | SSE, Vaadin servlet on /ui/*, Hilla at root | full
apache-httpd/http/servlet-mapping-push-url | servlet-mapping with PUSH relocated to /VAADIN/push. | /ui/ | servlet-mapping with PUSH at /VAADIN/push | full
apache-httpd/http/load-balancer | Two backends balanced by mod_proxy_balancer with sticky sessions via a ROUTEID cookie that Apache synthesizes from the balancer route (the backend JSESSIONID carries no route id unless Tomcat jvmRoute is configured). | / | Two HTTP backends, sticky via ROUTEID cookie | smoke
apache-httpd/http/load-balancer-sse | Two backends balanced by mod_proxy_balancer with sticky sessions via a synthesized ROUTEID cookie, PUSH over Server-Sent Events. Affinity has to hold for the EventSource GET and for the separate client-to-server XHR POSTs. | / | SSE across two backends, sticky ROUTEID cookie | full
apache-httpd/ajp/root-context | App at /, proxied over AJP (mod_proxy_ajp) instead of HTTP. | / | App at /, proxied over AJP | smoke
apache-httpd/ajp/root-context-sse | App at /, everything including PUSH proxied over AJP. WebSocket frames cannot ride AJP, so the WebSocket sibling needs a RewriteRule bypassing it to the backend HTTP port; over SSE the AJP worker carries push itself, with flushpackets=on so mod_proxy_ajp does not buffer the stream. | / | SSE rides AJP end to end, no ws:// bypass | full
apache-httpd/ajp/root-context-push-url | AJP root-context with VAADIN_PUSH_URL=/VAADIN/push; PUSH still needs an HTTP/WebSocket proxy since AJP does not carry WebSocket frames. | / | AJP root-context, PUSH at /VAADIN/push (ws via HTTP) | full
apache-httpd/ajp/root-context-push-url-sse | AJP root-context-sse with VAADIN_PUSH_URL=/VAADIN/push. The relocated endpoint needs no separate ws:// block, because the AJP worker carries the push stream itself. | / | SSE over AJP with PUSH at /VAADIN/push | full
apache-httpd/ajp/custom-context | App on /app context, proxied over AJP preserving the path. | /app/ | AJP, app on /app context, proxy preserves path | full
apache-httpd/ajp/custom-context-push-url | AJP custom-context with PUSH relocated to /VAADIN/push. | /app/ | AJP custom-context with PUSH at /VAADIN/push | full
apache-httpd/ajp/root-to-custom-context | AJP proxy at /, app on /app context. The proxy adds the /app prefix when forwarding to the backend's custom context. PUSH uses a direct HTTP/WebSocket proxy since AJP does not carry WebSocket frames. | / | AJP proxy at /, app on /app (proxy adds /app prefix) | full
apache-httpd/ajp/root-to-custom-context-push-url | AJP root-to-custom-context with VAADIN_PUSH_URL=/VAADIN/push; adds a ws:// proxy block for /VAADIN/push that maps to the backend's /app/VAADIN/push. | / | AJP root-to-custom-context, PUSH at /VAADIN/push | full
apache-httpd/ajp/custom-to-root-context | AJP proxy at /app/, app at root /. The proxy strips the /app prefix before forwarding to the backend root. PUSH uses a direct HTTP/WebSocket proxy since AJP does not carry WebSocket frames. | /app/ | AJP proxy at /app/, app at / (strips /app prefix) | smoke
apache-httpd/ajp/custom-to-root-context-push-url | AJP custom-to-root-context with VAADIN_PUSH_URL=/VAADIN/push; adds a ws:// proxy block for /app/VAADIN/push that maps to the backend's /VAADIN/push. | /app/ | AJP custom-to-root-context, PUSH at /VAADIN/push | full
apache-httpd/ajp/custom-to-root-context-servlet-mapping | AJP proxy at /app/ui/, app at root / with VAADIN_URL_MAPPING=/ui/*. The proxy strips the /app prefix and forwards to the backend; /app/ui/HILLA and /app/ui/connect are rewritten to /HILLA and /connect on the backend (Hilla resources live at the context root, not under the Vaadin servlet mapping). The AJP catch-all carries root-level static resources. | /app/ui/ | AJP proxy at /app/ui/, app at /, Vaadin on /ui/* | full
apache-httpd/ajp/custom-to-root-context-servlet-mapping-sse | AJP proxy at /app/ui/, app at root / with VAADIN_URL_MAPPING=/ui/*, PUSH over Server-Sent Events. Prefix stripping, a custom servlet mapping and Hilla resources at the context root, all over AJP with no WebSocket bypass. | /app/ui/ | SSE over AJP, /app stripped, Vaadin on /ui/* | full
apache-httpd/ajp/root-to-custom-context-servlet-mapping | AJP proxy at /ui/, app on /app context with VAADIN_URL_MAPPING=/ui/*. The proxy prepends /app when forwarding to the backend; /ui/HILLA and /ui/connect are rewritten to /app/HILLA and /app/connect (Hilla resources live at the context root, not under the Vaadin servlet mapping). The AJP catch-all carries root-level static resources; PUSH uses a direct HTTP/WebSocket proxy since AJP does not carry WebSocket frames. | /ui/ | AJP proxy at /ui/, app on /app, Vaadin on /ui/* | full
apache-httpd/ajp/servlet-mapping | App at / with Vaadin servlet bound to /ui/*, proxied over AJP. /HILLA push uses an HTTP/WebSocket proxy; /ui/HILLA/* and /ui/connect/* are rewritten back to /HILLA/* and /connect/* on the backend (Hilla resources live at the context root). Root-level static resources flow through the AJP catch-all. | /ui/ | AJP, Vaadin servlet on /ui/*, Hilla at root | full
apache-httpd/ajp/servlet-mapping-push-url | AJP servlet-mapping with PUSH relocated to /VAADIN/push. | /ui/ | AJP servlet-mapping with PUSH at /VAADIN/push | full
apache-httpd/ajp/load-balancer | Two AJP backends balanced by mod_proxy_balancer with sticky sessions via a ROUTEID cookie that Apache synthesizes from the balancer route. A second ws:// balancer carries WebSocket upgrades, which cannot ride AJP. | / | Two AJP backends, sticky via ROUTEID cookie | full
apache-httpd/https/root-context | App at /, Apache terminates TLS on https://localhost:9443/ and forwards over plain HTTP to the backend. SERVER_FORWARD_HEADERS_STRATEGY=NATIVE so Spring Boot honors X-Forwarded-Proto and Vaadin advertises wss:// for PUSH. | / | TLS at proxy, plain HTTP to backend (XFP) | smoke
apache-httpd/https/root-context-sse | App at /, Apache terminates TLS on https://localhost:9443/ and forwards over plain HTTP, PUSH over Server-Sent Events. SERVER_FORWARD_HEADERS_STRATEGY=NATIVE so Vaadin builds the push URL with the https scheme and the browser does not block the event stream as mixed content. | / | TLS at proxy, SSE push to plain HTTP backend | full
apache-httpd/ajp-https/root-context | App at /, Apache terminates TLS on https://localhost:9443/ and forwards over AJP. WebSocket upgrades cannot ride AJP and bypass it via a server-scope RewriteRule to ws://. AJP carries the request scheme natively so Tomcat sees request.isSecure()=true. | / | TLS at proxy, AJP to backend, ws bypass | full
nginx/https/root-context | App at /, NGINX terminates TLS on https://localhost:9443/ and forwards over plain HTTP to the backend. SERVER_FORWARD_HEADERS_STRATEGY=NATIVE so Spring Boot honors X-Forwarded-Proto and Vaadin advertises wss:// for PUSH. | / | NGINX terminates TLS, plain HTTP to backend | smoke
nginx/https/root-context-sse | App at /, NGINX terminates TLS on https://localhost:9443/ and forwards over plain HTTP, PUSH over Server-Sent Events. SERVER_FORWARD_HEADERS_STRATEGY=NATIVE so the push URL is built with the https scheme. | / | NGINX TLS termination, SSE push to HTTP backend | full
nginx/http/root-context | App at /, proxy at /. Baseline NGINX config using the shared default.conf.template with VAADIN_PATH=/. | / | App and proxy at /, NGINX baseline (VAADIN_PATH=/) | smoke
nginx/http/root-context-sse | App at /, proxy at /, PUSH over Server-Sent Events using the shared sse.conf.template. proxy_buffering off and proxy_http_version 1.1 are what let the event stream through; on nginx defaults it never flushes. | / | NGINX SSE baseline, proxy_buffering off | smoke
nginx/http/root-context-push-url | root-context with VAADIN_PUSH_URL=/VAADIN/push; uses the shared push-url.conf.template that adds a dedicated location for the relocated PUSH endpoint. | / | NGINX root-context with PUSH at /VAADIN/push | full
nginx/http/root-context-push-url-sse | root-context-sse with VAADIN_PUSH_URL=/VAADIN/push. No dedicated push location is needed: the WebSocket sibling only has one because the endpoint had to be upgraded. | / | NGINX SSE + relocated PUSH URL, no extra location | full
nginx/http/custom-context | App on /app context, NGINX preserves the path. Uses the shared default.conf.template with VAADIN_PATH=/app. | /app/ | NGINX, app on /app context, proxy preserves path | smoke
nginx/http/custom-context-sse | App on /app context, NGINX preserves the path, PUSH over Server-Sent Events via the shared sse.conf.template. | /app/ | NGINX SSE, app on /app context | full
nginx/http/custom-context-push-url | custom-context with PUSH relocated to /VAADIN/push. | /app/ | NGINX custom-context with PUSH at /VAADIN/push | full
nginx/http/root-to-custom-context | NGINX proxy at /, app on /app context. The proxy adds the /app prefix when forwarding to the backend's custom context — scenario-local template with proxy_cookie_path and proxy_redirect adjustments. | / | NGINX proxy at /, app on /app (adds /app prefix) | full
nginx/http/root-to-custom-context-sse | NGINX proxy at /, app on /app context, PUSH over Server-Sent Events. Scenario-local template with proxy_cookie_path and proxy_redirect adjustments and no upgrade headers. | / | NGINX SSE, proxy at /, app on /app context | full
nginx/http/root-to-custom-context-push-url | root-to-custom-context with VAADIN_PUSH_URL=/VAADIN/push; adds a dedicated /VAADIN/push location that maps to the backend's /app/VAADIN/push. | / | NGINX root-to-custom-context, PUSH at /VAADIN/push | full
nginx/http/custom-to-root-context | NGINX proxy at /app/, app at root /. The proxy strips the /app prefix before forwarding to the backend root — scenario-local template handling the path translation. | /app/ | NGINX proxy at /app/, app at / (strips /app prefix) | smoke
nginx/http/custom-to-root-context-sse | NGINX proxy at /app/, app at root /, PUSH over Server-Sent Events. The proxy strips the /app prefix before forwarding to the backend root. | /app/ | NGINX SSE, proxy at /app/, app at root / | full
nginx/http/custom-to-root-context-push-url | custom-to-root-context with VAADIN_PUSH_URL=/VAADIN/push; adds a dedicated /app/VAADIN/push location that maps to the backend's /VAADIN/push. | /app/ | NGINX custom-to-root-context, PUSH at /VAADIN/push | full
nginx/http/custom-to-root-context-servlet-mapping | NGINX proxy at /app/ui/, app at root / with VAADIN_URL_MAPPING=/ui/*. The proxy strips the /app prefix and forwards to the backend; dedicated /app/ui/HILLA/ and /app/ui/connect/ locations rewrite Hilla resources to /HILLA and /connect (Hilla resources live at the context root, not under the Vaadin servlet mapping). The catch-all carries root-level static resources. | /app/ui/ | NGINX proxy at /app/ui/, app at /, Vaadin on /ui/* | full
nginx/http/root-to-custom-context-servlet-mapping | NGINX proxy at /ui/, app on /app context with VAADIN_URL_MAPPING=/ui/*. The proxy prepends /app when forwarding to the backend; dedicated /ui/HILLA/ and /ui/connect/ locations rewrite Hilla resources to /app/HILLA and /app/connect (Hilla resources live at the context root, not under the Vaadin servlet mapping). The catch-all carries root-level static resources. | /ui/ | NGINX proxy at /ui/, app on /app, Vaadin on /ui/* | full
nginx/http/servlet-mapping | App at / with Vaadin servlet bound to /ui/*. Scenario-local template rewrites /ui/HILLA/* and /ui/connect/* back to /HILLA/* and /connect/* (Hilla resources live at the context root) and lets the catch-all carry root-level static resources. | /ui/ | NGINX, Vaadin servlet on /ui/*, Hilla at root | smoke
nginx/http/servlet-mapping-sse | App at / with the Vaadin servlet on /ui/*, PUSH over Server-Sent Events. Dedicated /ui/HILLA/ and /ui/connect/ locations rewrite Hilla resources to the context root, and no location carries upgrade headers. | /ui/ | NGINX SSE, Vaadin servlet on /ui/*, Hilla at root | full
nginx/http/servlet-mapping-push-url | servlet-mapping with PUSH relocated to /VAADIN/push. | /ui/ | NGINX servlet-mapping with PUSH at /VAADIN/push | full
nginx/http/load-balancer | Two backends balanced by NGINX upstream with sticky sessions via a synthesized ROUTEID cookie. | / | Two backends, NGINX upstream, sticky ROUTEID cookie | smoke
nginx/http/load-balancer-sse | Two backends balanced by an NGINX upstream with sticky sessions via a ROUTEID cookie, PUSH over Server-Sent Events. Affinity has to cover the EventSource GET and the separate client-to-server XHR POSTs. | / | NGINX SSE across two backends, sticky ROUTEID | full
nginx/http/multiple-root-context | Two independent app instances, each running at /, exposed by NGINX under different prefixes (/ui1 and /ui2). Per-app session cookie names avoid collisions. | /ui1/,/ui2/ | Two independent apps under /ui1 and /ui2 | smoke
traefik/http/root-context | App at /, proxy at /. Baseline Traefik scenario: one router, one service, and no WebSocket configuration at all, because Traefik upgrades on every route when the client asks. | / | App and proxy at /, Traefik baseline | smoke
traefik/http/root-context-sse | App at /, proxy at /, PUSH over Server-Sent Events. Traefik has no way to omit upgrade support, so the refusal is explicit: a headers middleware strips the client's Upgrade and Connection headers before the request reaches the backend. | / | SSE push, upgrade stripped on purpose | smoke
traefik/http/custom-context | App on /app context, proxy preserves the same path so the backend sees the original URL unchanged. Nothing has to be rewritten in either direction. | /app/ | Traefik, app on /app, proxy preserves path | smoke
traefik/http/custom-to-root-context | Proxy at /app/, app at root /. Traefik strips the /app prefix on the way in and cannot put it back on the way out, so /test-redirect answers a Location without the prefix. The breakage is the point: every Kubernetes ingress behaves this way. See custom-to-root-context-forwarded-prefix for the fix. | /app/ | Traefik strips /app, redirect loses the prefix | smoke
traefik/http/custom-to-root-context-forwarded-prefix | custom-to-root-context with SERVER_FORWARD_HEADERS_STRATEGY=FRAMEWORK on the backend. The proxy config is identical; stripPrefix already sends X-Forwarded-Prefix and Spring's ForwardedHeaderFilter rebuilds the context path from it, so the redirect keeps the /app prefix without any response rewriting. | /app/ | Same config, redirect fixed via X-Forwarded-Prefix | smoke
traefik/http/root-to-custom-context | Proxy at /, app on /app context, the proxy adding the prefix on the way in. Needs three things because Traefik rewrites no responses: SERVER_SERVLET_SESSION_COOKIE_PATH=/ for the session cookie, an X-Forwarded-Prefix=/ middleware, and FRAMEWORK so the backend stops building URLs with /app in them (without which Vaadin's csrfToken cookie stays on /app and every Hilla call is 401). | / | Traefik adds /app, forwarded prefix back to root | full
traefik/https/root-context | App at /, Traefik terminates TLS on https://localhost:9443/ and forwards over plain HTTP. Shorter than both siblings: Traefik sets X-Forwarded-Proto from the entryPoint's TLS state, so no header rule is needed. The entryPoint also serves HTTP/2, and sends X-Forwarded-Proto: wss on WebSocket upgrades. | / | Traefik TLS termination, no XFP rule needed | smoke
traefik/http/root-context-push-url | root-context with VAADIN_PUSH_URL=/VAADIN/push. The config is identical to root-context: Traefik upgrades on every route, so a relocated PUSH endpoint needs no rule of its own, where the Apache and NGINX siblings each add a block for it. | / | Traefik root-context, PUSH at /VAADIN/push | full
traefik/http/root-context-push-url-sse | root-context-sse with VAADIN_PUSH_URL=/VAADIN/push. Identical to root-context-sse: over SSE there is no upgrade to arrange, and the catch-all carries both the event stream and the client-to-server POSTs. | / | SSE + relocated PUSH URL, no extra router | full
traefik/http/custom-context-sse | App on /app context, proxy preserves the path, PUSH over Server-Sent Events with the client's Upgrade header stripped by a headers middleware. | /app/ | SSE, app on /app, upgrade stripped | full
traefik/http/custom-context-push-url | custom-context with VAADIN_PUSH_URL=/VAADIN/push. The relocated URL resolves against the context, so the browser asks for /app/VAADIN/push and the existing router already covers it. | /app/ | Traefik custom-context, PUSH at /VAADIN/push | full
traefik/http/root-to-custom-context-sse | Proxy at /, app on /app context, PUSH over Server-Sent Events. The event stream and the client-to-server POSTs both ride the same prefix-adding router, and the session cookie and forwarded prefix are arranged as in the WebSocket sibling. | / | SSE, proxy at /, app on /app context | full
traefik/http/root-to-custom-context-push-url | root-to-custom-context with VAADIN_PUSH_URL=/VAADIN/push. The catch-all adds the /app prefix to the push path along with everything else, so unlike the NGINX sibling no second location is needed. | / | root-to-custom-context, PUSH at /VAADIN/push | full
traefik/http/custom-to-root-context-sse | Proxy at /app/, app at root /, PUSH over Server-Sent Events. stripPrefix carries the event stream and the POSTs alike, and the /test-redirect breakage of the WebSocket sibling is unchanged. | /app/ | SSE, proxy at /app/, app at root / | full
traefik/http/custom-to-root-context-push-url | custom-to-root-context with VAADIN_PUSH_URL=/VAADIN/push. The push URL resolves against the backend context, so the browser asks for /app/VAADIN/push and stripPrefix hands /VAADIN/push to the backend. | /app/ | custom-to-root-context, PUSH at /VAADIN/push | full
traefik/http/servlet-mapping | App at / with the Vaadin servlet bound to /ui/*. /HILLA/* (Hilla push) and /connect/* (browser-callables) stay at the context root whatever the mapping is, so two routers strip the /ui prefix for them at an explicit priority above the catch-all, which carries /ui/* and the root-level static resources. | /ui/ | Vaadin servlet on /ui/*, Hilla resources at root | smoke
traefik/http/servlet-mapping-sse | App at / with the Vaadin servlet on /ui/*, PUSH over Server-Sent Events. The Hilla routers still strip /ui, but Hilla push cannot work at all over SSE: FluxConnection is WebSocket-only with no fallback. | /ui/ | SSE, Vaadin servlet on /ui/*, Hilla at root | full
traefik/http/servlet-mapping-push-url | servlet-mapping with PUSH relocated to /VAADIN/push. The push URL resolves against the context, which here is the root, so the catch-all already carries it and the config is identical to servlet-mapping. | /ui/ | servlet-mapping with PUSH at /VAADIN/push | full
traefik/http/custom-to-root-context-servlet-mapping | Proxy at /app/ui/, app at root / with VAADIN_URL_MAPPING=/ui/*. Two translations at once: /app/ui/HILLA and /app/ui/connect lose both segments because Hilla lives at the context root, while everything else loses only /app. As in custom-to-root-context, nothing puts the prefix back into a redirect. | /app/ui/ | Proxy at /app/ui/, app at /, Vaadin on /ui/* | full
traefik/http/root-to-custom-context-servlet-mapping | Proxy at /ui/, app on /app context with VAADIN_URL_MAPPING=/ui/*. The Hilla paths strip the servlet mapping and then gain the context prefix; everything else only gains /app. Needs the session cookie path and the X-Forwarded-Prefix middleware, as every scenario does where the proxy hides the context. | /ui/ | Proxy at /ui/, app on /app, Vaadin on /ui/* | full
traefik/http/load-balancer | Two backends behind one router with sticky sessions via a ROUTEID cookie that Traefik synthesizes itself, so the backends need no Tomcat jvmRoute. APP_NAME distinguishes which one served the page. | / | Two HTTP backends, sticky via ROUTEID cookie | smoke
traefik/http/load-balancer-sse | Two backends with sticky sessions, PUSH over Server-Sent Events. Affinity has to hold both for the EventSource GET and for the separate client-to-server POSTs. | / | SSE across two backends, sticky ROUTEID cookie | full
traefik/http/multiple-root-context | Two independent apps at their own backend roots, published under /ui1 and /ui2 by stripPrefix. Traefik cannot rescope cookies the way the NGINX sibling's proxy_cookie_path does, so each app is told its public prefix instead — without which both would set a csrfToken cookie on / and clobber each other. | /ui1/,/ui2/ | Two apps under /ui1 and /ui2, prefixes stripped | smoke
traefik/https/root-context-sse | App at /, Traefik terminates TLS on https://localhost:9443/ and forwards over plain HTTP, PUSH over Server-Sent Events. SERVER_FORWARD_HEADERS_STRATEGY=NATIVE so the push URL is built with the https scheme; no header rule is needed because Traefik derives X-Forwarded-Proto from the entryPoint. | / | Traefik TLS termination, SSE push to HTTP backend | full
traefik/labels/root-context | The same scenario as traefik/http/root-context, configured with Docker labels instead of a config file, to document that idiom. The only scenario in the tree that mounts the Docker socket; entryPoints stay in the proxy's command-line flags because no label can express static configuration. | / | Label idiom instead of the file provider | full
haproxy/http/root-context | App at /, proxy at /. Baseline HAProxy scenario: one frontend, one backend, and no WebSocket configuration at all, because an HTTP/1.1 upgrade is relayed transparently on whatever path it arrives on. | / | App and proxy at /, HAProxy baseline | smoke
haproxy/http/root-context-sse | App at /, proxy at /, PUSH over Server-Sent Events. HAProxy relays an upgrade with no configuration and has no keyword to stop it, so the refusal is written out: the frontend denies any request carrying an Upgrade header with 501, which means the failure comes from the proxy rather than from Atmosphere. | / | SSE push, upgrade denied with 501 on purpose | smoke
haproxy/http/custom-context | App on /app context, proxy preserves the same path so the backend sees the original URL unchanged. HAProxy has no location construct, so nothing has to be said about the context path: this scenario mounts the same shared template as root-context. | /app/ | App on /app, same config file as root-context | smoke
haproxy/http/custom-to-root-context | Proxy at /app/, app at root /. The prefix is stripped on the way in and put back on the way out by two regexes over the Location and Set-Cookie headers, since HAProxy has no ProxyPassReverse and no proxy_cookie_path. A frontend sees every path, so the published prefix is enforced with a deny rather than declared with a location. | /app/ | Proxy at /app/, app at / (regex rewrites back) | smoke
haproxy/http/root-to-custom-context | Proxy at /, app on /app context. The proxy adds the prefix on the way in and strips it from Location and Set-Cookie on the way out. The cookie rule is anchored on the end of the header value because Tomcat writes Path=/app with no trailing slash, and a rewrite that matches nothing looks exactly like one that was not needed. | / | Proxy at /, app on /app (regex rewrites back) | full
haproxy/http/servlet-mapping | App at / with the Vaadin servlet bound to /ui/*. /HILLA/* (Hilla push) and /connect/* (browser-callables) stay at the context root whatever the mapping is, so two ACLs and one replace-path strip /ui for those; everything else, including /ui/VAADIN/push and the root-level static resources, reaches the backend untouched. | /ui/ | Vaadin servlet on /ui/*, Hilla resources at root | smoke
haproxy/http/root-context-push-url | root-context with VAADIN_PUSH_URL=/VAADIN/push. The scenario mounts the very same config file as root-context, not a copy of it: a frontend accepts every path and an upgrade is relayed on whichever path the client asks to upgrade, where the Apache and NGINX siblings each need a second block for the relocated endpoint. | / | root-context with PUSH at /VAADIN/push, same file | full
haproxy/http/root-context-push-url-sse | root-context-sse with VAADIN_PUSH_URL=/VAADIN/push. Identical to root-context-sse: over SSE there is no upgrade to arrange, and the frontend carries the event stream and the client-to-server POSTs alike. | / | SSE + relocated PUSH URL, same file as the sibling | full
haproxy/http/custom-context-sse | App on /app context, proxy preserves the path, PUSH over Server-Sent Events. Mounts the shared passthrough-sse template, whose only difference from passthrough is the deny that refuses an upgrade with 501. | /app/ | SSE, app on /app, upgrade denied with 501 | full
haproxy/http/custom-context-push-url | custom-context with VAADIN_PUSH_URL=/VAADIN/push. The relocated URL resolves against the context, so the browser asks for /app/VAADIN/push, and the passthrough config carries it with no rule of its own. | /app/ | custom-context with PUSH at /app/VAADIN/push | full
haproxy/http/custom-to-root-context-push-url | custom-to-root-context with VAADIN_PUSH_URL=/VAADIN/push. The browser asks for /app/VAADIN/push and the same prefix strip that carries every other request hands /VAADIN/push to the backend. | /app/ | custom-to-root-context, PUSH at /VAADIN/push | full
haproxy/http/custom-to-root-context-sse | Proxy at /app/, app at root /, PUSH over Server-Sent Events. The prefix strip and the two response rewrites are unchanged from the WebSocket sibling; the one added line denies an upgrade with 501. | /app/ | SSE, proxy at /app/, app at root / | full
haproxy/http/root-to-custom-context-push-url | root-to-custom-context with VAADIN_PUSH_URL=/VAADIN/push. The browser asks for /VAADIN/push at the public root and the prefix-adding rule forwards it to the backend's /app/VAADIN/push, so unlike the NGINX sibling no second block is needed. | / | root-to-custom-context, PUSH at /VAADIN/push | full
